LANGUAGE,English,French,Italian,Spanish,German, Comment
STR_S01v08,Guess I'd better send someone to go pick it up.,Je crois que je ferais mieux d'envoyer quelqu'un la chercher.,È meglio che mandi qualcuno a riprenderla.,Pues habrá que enviar a alguien a buscarlo.,Ich schicke wohl besser jemanden zum Abholen.,Sergeant Hawley; annoyed


-------- Titles -------,,,,,,

STR_END_6,Arrested by the MPs,Arrêté par la police militaire.,Arrestato dalla polizia militare.,Arrestado por la Policía militar.,Von der Militärpolizei verhaftet., Title

STR_HINT_0,"Default controls: \n\nW, S - forward / backward\nA, D - strafe left / right\nZ - lie down / stand up\nV - reload weapon\nSpace - change weapon\nReturn - action menu\n[,] - choose  action\n\nLeft mouse button - fire\nRight mouse button - zoom","Commandes par défaut : \n\nZ, S - avant / arrière\nQ, D - déplacement latéral à gauche / droite\nZ - au sol / debout\nV - recharger arme\nEspace - changer arme\nEntrée - menu Action\n[;] - choisir action\n\nBouton souris gauche - tirer\nBouton souris droit - zoom","Comandi predefiniti: \n\nW, S - avanti / indietro\nA, D - spostarsi lateralmente a sinistra / a destra\nZ - sdraiarsi / alzarsi\nV - ricaricare arma\nBarra spaziatrice - cambiare arma\nInvio - menu Azione\n[,] - scegliere azione\n\nPulsante sinistro del mouse - fuoco\nPulsante destro del mouse - zoom","Controles predeterminados: \n\nW, S: avanzar/retroceder\nA,D: avanzar de lado hacia la izquierda/derecha\nZ: agacharse o levantarse\nV: recargar arma\nBarra espaciadora: cambiar arma\nRetorno: abrir menú de acciones\n[,]: seleccionar acción\n\nBotón izquierdo del ratón: fuego\nBotón derecho del ratón: acercar o alejar","Standardsteuerung: \n\n[W], [S] - vorwärts / rückwärts\n[A], [D] - Feuer links / rechts\n[Z] - hinlegen / aufstehen\n[V] - Waffe neu laden\nLeertaste - Waffe wechseln\nEingabetaste - Aktionsmenü\n[,] - Aktion auswählen\n\nLinke Maustaste - Feuer\nRechte Maustaste - Zoom", Hint
STR_HINT_1,With the injuries you've sustained you can no longer operate your weapon properly. Find a field hospital or ambulance BMP,"Avec les blessures que vous avez subies, vous n'êtes plus en état d'utiliser votre arme correctement. Trouvez un hôpital ou un BMP médical",In conseguenza delle ferite che hai riportato non sei più in grado di utilizzare la tua arma in modo appropriato. Trova un ospedale da campo o un'ambulanza BMP,Te han herido y te cuesta manejar el arma. Busca un hospital de campo o una ambulancia BMP.,Mit Ihren Wunden können Sie Ihre Waffe nicht länger bedienen. Suchen Sie sich ein Feldlazarett oder einen Krankentransporter., Hint
STR_HINT_2,"To climb into the car, use the action menu.","Pour monter dans la voiture, utilisez le menu Action.",Per salire in auto usa il menu Azione.,"Para subir al coche, usa el menú de acciones.","Um in das Fahrzeug einzusteigen, verwenden Sie das Aktionsmenü.", Hint

STR_FAR_2,Lost in enemy territory,Perdu en territoire ennemi,Disperso in territorio nemico.,Perdido en territorio enemigo,Auf gegnerischem Gebiet verloren., Descritption only

STR_S01n20,Mission completed,Mission accomplie,Missione compiuta,Misión cumplida.,Einsatz abgeschlossen, Title

STR_S01n10,Insertion point,Point d'insertion,Punto di inserimento,Punto de inserción,Ausgangspunkt, Marker
STR_S01n11,Find the car,Trouver la voiture,Trova l'auto,Encuentra el vehículo,Finden Sie das Auto, Marker
STR_S01n12,Meet your commander,Rencontrer le commandant,Incontra il tuo comandante,Reúnete con tu comandante,Treffen Sie Ihren Kommandanten, Marker

STR_S01n13,FIND THE CAR,TROUVER LA VOITURE,TROVA L'AUTO,ENCUENTRA EL VEHÍCULO,FINDEN SIE DAS AUTO, Waypoint
STR_S01n14,MEETING POINT,POINT DE RENDEZ-VOUS,PUNTO DI INCONTRO,PUNTO DE ENCUENTRO,TREFFPUNKT, Waypoint

STR_S01n40,Near La Trinite,Près de la Trinité,Vicino a La Trinité,Cerca de La Trinite,Nahe La Trinité, PreBriefing
